tick,nodes,SA,total_ms,light_ms,plant_ms,debug_ms,position_ms,maintenance_ms,grow_ms,mass_stress_ms,droop_break_ms,transport_ms
9535,4550,0,76.9442,0,26.4191,50.5252,0.206882,0.994377,9.78067,0.680318,0.162728,5.01607
9536,4550,0,79.1422,0,27.636,51.5062,0.220442,1.178,10.3388,0.762909,0.16404,5.21203
9537,4550,0,76.2262,0,26.1464,50.0798,0.207495,1.02161,9.90431,0.700444,0.171298,5.0025
9538,4550,0,75.8899,0,26.279,49.6109,0.207006,1.02334,10.0131,0.690294,0.16175,5.00459
9539,4549,0,76.4812,0,26.2988,50.1824,0.207286,0.977875,9.77967,0.673672,0.163152,4.9753
9540,4549,0,143.623,66.6303,26.5385,50.4539,0.212552,1.0708,10.0742,0.715741,0.163985,5.01485
9541,4549,0,83.7856,0,26.5724,57.2132,0.209674,1.07437,10.0145,0.713875,0.164324,5.10366
9542,4549,0,76.6312,0,26.5633,50.068,0.222354,1.0336,10.0251,0.700541,0.166491,5.11393
9543,4549,0,76.7391,0,26.3885,50.3506,0.209218,1.0415,9.98797,0.705596,0.165054,5.02908
9544,4552,0,76.7353,0,26.3727,50.3626,0.207533,1.04265,10.0085,0.697587,0.162185,5.00622
9545,4552,0,77.1924,0,26.8215,50.3709,0.209872,1.02799,9.92247,0.711618,0.163302,5.02716
9546,4552,0,76.4147,0,26.3278,50.0869,0.20815,1.03449,9.9593,0.702628,0.16387,5.02374
9547,4552,0,76.7347,0,26.7534,49.9814,0.226326,1.09105,10.0934,0.736173,0.163352,5.06514
9548,4552,0,77.2419,0,26.4771,50.7648,0.210633,1.02988,10.0118,0.704617,0.16594,5.0655
9549,4555,0,77.0843,0,26.4574,50.6269,0.232071,1.05165,9.92231,0.707625,0.165982,5.06014
9550,4554,0,143.491,67.2857,26.4998,49.7055,0.215904,0.994034,9.85916,0.675007,0.161833,5.00063
9551,4554,0,76.8587,0,26.361,50.4976,0.20802,1.04898,9.94863,0.710756,0.165587,5.02785
9552,4554,0,76.3081,0,26.2401,50.068,0.209527,1.0272,9.92666,0.692158,0.16357,5.04497
9553,4554,0,76.1569,0,25.8777,50.2792,0.20855,0.979006,9.77234,0.681505,0.161691,5.00345
9554,4560,0,78.5564,0,26.5403,52.016,0.210625,1.03279,10.1069,0.706026,0.16494,5.06211
9555,4560,0,76.5596,0,26.3991,50.1605,0.209011,1.04197,9.96693,0.703159,0.163436,5.06528
9556,4559,0,76.4048,0,26.6944,49.7104,0.208291,1.04696,9.87875,0.709977,0.162467,5.01971
9557,4559,0,76.3763,0,26.2416,50.1347,0.208289,1.02611,9.92017,0.698602,0.164393,5.02814
9558,4559,0,76.1369,0,26.2328,49.9041,0.209313,1.01919,9.88603,0.700125,0.165112,5.05737
9559,4562,0,77.3132,0,26.6238,50.6895,0.211122,1.01829,10.1058,0.705426,0.166908,5.10653
9560,4562,0,143.527,66.5796,26.2145,50.7329,0.246719,1.01124,9.80409,0.680468,0.162738,5.10541
9561,4562,0,77.0787,0,26.3039,50.7748,0.21076,1.00065,10.0057,0.687662,0.164811,5.04213
9562,4562,0,76.3209,0,26.2067,50.1142,0.207883,1.01464,9.88292,0.695472,0.164441,5.02917
9563,4563,0,76.8382,0,26.7517,50.0866,0.208797,1.01732,9.97294,0.698477,0.163491,5.01607
9564,4562,0,76.6992,0,26.4736,50.2256,0.20799,1.00733,9.87488,0.683749,0.160237,4.98261
9565,4562,0,76.4919,0,26.3529,50.139,0.204097,1.04213,9.97258,0.702862,0.164134,5.02512
9566,4562,0,76.5161,0,26.2328,50.2833,0.209393,1.01365,9.90661,0.696583,0.163157,5.04303
9567,4561,0,80.0676,0,28.1013,51.9663,0.220931,1.12964,10.4327,0.763615,0.175508,5.17784
9568,4564,0,78.1201,0,27.088,51.0322,0.262977,1.08522,10.1195,0.733579,0.166356,5.14927
9569,4566,0,77.883,0,27.5065,50.3765,0.249848,1.04004,10.2399,0.761689,0.163949,5.16213
9570,4566,0,144.735,68.162,26.185,50.3875,0.20882,1.01203,9.86866,0.68068,0.164715,5.05269
9571,4566,0,76.251,0,26.2043,50.0468,0.209875,1.01485,9.88944,0.697724,0.165133,5.03367
9572,4566,0,76.7005,0,26.5132,50.1873,0.209624,1.03788,10.0275,0.713032,0.163801,5.07418
9573,4569,0,78.8188,0,26.7504,52.0684,0.208863,1.07048,10.1401,0.713703,0.178569,5.07771
9574,4568,0,78.2457,0,28.1916,50.0541,0.391864,1.11872,10.308,0.766053,0.165545,5.30245
9575,4567,0,76.9758,0,26.7766,50.1992,0.211034,1.02721,9.99192,0.698355,0.163248,5.0091
9576,4567,0,76.5725,0,26.6648,49.9077,0.20997,1.06495,10.065,0.717386,0.165086,5.07517
9577,4567,0,77.2058,0,26.6607,50.5451,0.209412,1.05449,10.1181,0.718762,0.163629,5.05273
9578,4570,0,77.6937,0,27.2027,50.491,0.300217,1.11048,10.1283,0.729421,0.161471,5.18755
9579,4570,0,77.0065,0,26.2587,50.7478,0.209453,1.02287,9.90764,0.690511,0.163342,5.0406
9580,4569,0,147.35,70.2526,26.8975,50.2001,0.210371,1.01828,9.99808,0.692815,0.166659,5.07138
9581,4568,0,76.93,0,26.6489,50.2812,0.207777,1.00922,9.94272,0.687677,0.162874,5.01395
9582,4568,0,76.3612,0,26.2139,50.1473,0.226809,1.00177,9.85886,0.704232,0.162199,5.04857
9583,4571,0,76.8385,0,26.2685,50.5699,0.208559,1.00959,9.96424,0.691757,0.164258,5.04841
9584,4571,0,76.989,0,26.4857,50.5033,0.209377,1.05155,9.97038,0.708664,0.164091,5.06832
9585,4568,0,77.8675,0,27.1008,50.7667,0.207571,1.08243,10.0185,0.728904,0.166616,5.04088
9586,4574,0,77.0945,0,26.3702,50.7242,0.210392,1.00142,10.019,0.692574,0.166092,5.0438
9587,4573,0,77.9524,0,27.2269,50.7255,0.243117,1.05186,10.0421,0.715254,0.207836,5.08414
9588,4573,0,76.7317,0,26.1687,50.563,0.209799,0.997357,9.90445,0.69039,0.165915,5.03139
9589,4573,0,76.5864,0,26.2817,50.3047,0.209166,1.01999,9.99332,0.691889,0.164339,5.01975
9590,4573,0,144.513,67.9579,25.7949,50.7598,0.209172,1.02301,9.42618,0.690188,0.164891,5.04499
9591,4576,0,76.9717,0,26.0292,50.9425,0.214306,1.03586,9.50389,0.710583,0.164243,5.11617
9592,4579,0,76.6468,0,26.0436,50.6033,0.223594,1.01412,9.52405,0.690637,0.166344,5.12296
9593,4581,0,78.0508,0,26.2268,51.824,0.215788,1.01788,9.41376,0.693631,0.162396,5.05413
9594,4581,0,76.2868,0,25.7807,50.5061,0.208851,1.03091,9.43177,0.692276,0.164602,5.08
9595,4580,0,77.4354,0,26.7108,50.7246,0.351729,1.01611,9.49505,0.730399,0.16565,5.10941
9596,4580,0,78.8252,0,26.8735,51.9517,0.212046,1.11503,9.89421,0.744549,0.166909,5.16594
9597,4583,0,77.6029,0,26.7525,50.8503,0.227125,1.16419,9.84318,0.750375,0.163907,5.07932
9598,4588,0,80.9971,0,28.3936,52.6035,0.219965,1.23338,10.2247,0.802974,0.165902,5.21256
9599,4588,0,76.0872,0,26.2342,49.853,0.21764,1.05486,9.58211,0.71642,0.16396,5.07154
9600,4588,0,145.439,68.5543,26.3892,50.4953,0.256493,1.09467,9.62905,0.736848,0.164382,5.06841
9601,4588,0,78.0495,0,26.1253,51.9242,0.278035,1.04262,9.39202,0.706644,0.164171,5.13975
9602,4588,0,77.1447,0,26.499,50.6456,0.297927,1.08121,9.47432,0.722483,0.162993,5.27397
9603,4588,0,87.305,0,26.5253,60.7797,0.329779,1.08644,9.25797,0.692744,0.162006,5.22753
9604,4590,0,77.1067,0,26.6167,50.49,0.229968,1.04554,9.50515,0.703348,0.162217,5.12451
9605,4593,0,79.4406,0,28.28,51.1605,0.453985,1.16587,10.1861,0.77066,0.167917,5.63479
9606,4596,0,77.6302,0,28.2441,49.3861,0.503494,1.16326,10.0982,0.783017,0.162878,5.61519
9607,4599,0,78.1648,0,27.0098,51.155,0.333994,1.05867,10.0281,0.730867,0.177355,5.19943
9608,4599,0,79.1035,0,28.0154,51.088,0.475998,1.1391,10.1195,0.75153,0.164467,5.52022
9609,4599,0,75.1571,0,25.8034,49.3537,0.206627,0.966498,9.78429,0.668189,0.163038,4.98119
9610,4599,0,146.609,68.1035,27.1447,51.3608,0.276846,1.09013,10.0716,0.726562,0.165537,5.2843
9611,4598,0,79.1719,0,27.8549,51.317,0.25479,1.08927,10.1197,0.778767,0.206246,5.25016
9612,4598,0,80.6355,0,27.5334,53.1021,0.231864,1.172,10.3302,0.781806,0.1671,5.16461
9613,4598,0,80.4659,0,28.1835,52.2825,0.213672,1.20632,10.7172,0.788583,0.168705,5.18999
9614,4601,0,79.881,0,27.8458,52.0352,0.214698,1.20349,10.4181,0.78076,0.168954,5.27101
9615,4600,0,79.047,0,27.4765,51.5705,0.226724,1.07042,10.1496,0.723278,0.166495,5.15368
9616,4609,0,78.0174,0,26.8466,51.1708,0.211891,1.05795,10.2234,0.714222,0.164866,5.10431
9617,4611,0,77.2409,0,26.9964,50.2445,0.214905,1.02715,10.053,0.69843,0.166923,5.09594
9618,4611,0,77.9412,0,26.6032,51.338,0.21075,1.081,10.0371,0.698798,0.167097,5.09278
9619,4611,0,80.0079,0,27.7762,52.2317,0.227047,1.14091,10.5423,0.79803,0.172197,5.21072
9620,4611,0,150.504,70.8288,27.9586,51.7164,0.213351,1.17922,10.513,0.773229,0.167468,5.24564
9621,4614,0,79.4607,0,27.2295,52.2312,0.224321,1.11258,10.1703,0.735027,0.167047,5.19987
9622,4616,0,79.9856,0,28.2691,51.7165,0.214734,1.15991,10.4549,0.775585,0.168292,5.24404
9623,4616,0,77.4858,0,26.9307,50.5551,0.210151,1.07789,10.2274,0.718632,0.167198,5.08887
9624,4616,0,79.2848,0,27.7405,51.5442,0.235385,1.18557,10.3904,0.781511,0.167554,5.19868
9625,4615,0,78.6418,0,28.0358,50.606,0.229894,1.17335,10.3983,0.78688,0.166582,5.14874
9626,4615,0,79.0355,0,27.4275,51.6081,0.210871,1.11244,10.3976,0.746313,0.167931,5.15358
9627,4614,0,79.0737,0,27.6627,51.411,0.210337,1.15022,10.2392,0.733725,0.174135,5.11807
9628,4616,0,81.5218,0,28.6051,52.9167,0.224248,1.22347,10.5606,0.788103,0.167854,5.26255
9629,4616,0,79.983,0,27.8399,52.1431,0.222259,1.15618,10.5121,0.771119,0.168709,5.20686
9630,4619,0,148.207,70.0257,26.9528,51.2289,0.210992,1.08701,10.2005,0.730738,0.167895,5.0998
9631,4622,0,79.8208,0,27.333,52.4878,0.212124,1.14148,10.3335,0.749589,0.168794,5.15411
9632,4625,0,78.7892,0,27.463,51.3262,0.211961,1.12282,10.4179,0.768263,0.167825,5.16352
9633,4625,0,76.8675,0,26.4259,50.4415,0.211709,1.05241,9.95169,0.701537,0.166203,5.07368
9634,4625,0,78.44,0,26.567,51.873,0.208826,1.09425,9.97747,0.706446,0.166982,5.09876
9635,4623,0,79.3362,0,27.6466,51.6896,0.211147,1.11595,10.2292,0.731714,0.16819,5.13352
9636,4623,0,76.8364,0,26.5047,50.3317,0.209915,1.05126,10.04,0.702344,0.162434,5.07207
9637,4623,0,76.3897,0,26.732,49.6577,0.217734,1.10256,10.0971,0.716039,0.163589,5.10004
9638,4626,0,78.6705,0,27.4542,51.2163,0.226012,1.07869,10.0923,0.74497,0.165804,5.1318
9639,4626,0,78.6381,0,27.2014,51.4368,0.212391,1.1321,10.2642,0.754271,0.165236,5.11499
9640,4632,0,148.539,68.6686,27.429,52.4415,0.208625,1.05948,10.7402,0.711721,0.165591,5.09025
9641,4635,0,79.9755,0,27.8993,52.0762,0.213263,1.15228,10.8824,0.751979,0.168982,5.15972
9642,4634,0,79.7512,0,28.2669,51.4844,0.283106,1.14619,10.7575,0.742821,0.167146,5.16606
9643,4633,0,81.0276,0,29.6581,51.3695,0.458251,1.1619,10.9368,0.801611,0.167595,5.56407
9644,4636,0,79.1674,0,27.9279,51.2395,0.211109,1.11813,10.8327,0.737871,0.16612,5.13746
9645,4636,0,79.8183,0,28.5057,51.3126,0.371005,1.08208,10.5478,0.737155,0.167732,5.31242
9646,4639,0,80.3458,0,28.6687,51.677,0.383713,1.19476,10.952,0.780569,0.171024,5.34143
9647,4639,0,78.923,0,27.3655,51.5574,0.210956,1.08384,10.6203,0.714087,0.163169,5.07884
9648,4639,0,78.7025,0,27.7823,50.9201,0.298684,1.08603,10.5976,0.748733,0.164734,5.28039
9649,4639,0,79.2321,0,27.789,51.4431,0.213525,1.11235,10.8159,0.733971,0.167644,5.19196
9650,4639,0,141.509,64.7198,26.8352,49.9536,0.209113,0.930989,10.7965,0.660135,0.161612,5.02315
9651,4638,0,77.3503,0,27.4198,49.9304,0.209132,0.958986,10.8326,0.666244,0.162347,5.02899
9652,4643,0,80.1633,0,28.8096,51.3537,0.210885,1.13473,11.2496,0.744901,0.165966,5.18491
9653,4643,0,79.6878,0,28.7883,50.8995,0.219594,1.18542,11.3571,0.76825,0.167747,5.1967
9654,4649,0,80.7919,0,28.8402,51.9517,0.226885,1.11123,11.7042,0.732575,0.166012,5.26653
9655,4651,0,82.3436,0,30.062,52.2815,0.446257,1.14843,11.9522,0.771712,0.166489,5.34138
9656,4651,0,80.8044,0,28.9731,51.8313,0.216504,1.14316,11.833,0.760562,0.16923,5.17235
9657,4654,0,82.6012,0,29.7942,52.807,0.214222,1.22422,12.25,0.795002,0.169835,5.20503
9658,4654,0,80.832,0,29.0075,51.8244,0.213434,1.12937,11.961,0.749402,0.16789,5.19131
9659,4653,0,81.2518,0,29.4868,51.765,0.212705,1.17095,11.9537,0.763018,0.166457,5.13297
9660,4653,0,150.474,69.2106,29.3611,51.902,0.214562,1.17684,12.0058,0.755108,0.169183,5.21109
9661,4656,0,78.8437,0,28.2692,50.5745,0.216269,1.07507,11.5992,0.716254,0.164747,5.11968
9662,4659,0,79.4963,0,28.4103,51.086,0.211281,1.1009,11.6572,0.718541,0.166095,5.1351
9663,4662,0,78.2935,0,28.0352,50.2583,0.211006,1.04849,11.512,0.694102,0.164934,5.0969
9664,4665,0,103.47,0,28.1576,75.3128,0.21232,1.07959,11.5799,0.71099,0.164527,5.10187
9665,4666,0,83.9893,0,29.1245,54.8648,0.211782,1.12397,11.7258,0.725693,0.164505,5.15022
9666,4668,0,83.0762,0,29.8642,53.212,0.212661,1.17962,12.0736,0.755607,0.167823,5.23773
9667,4668,0,81.3833,0,29.5975,51.7858,0.318734,1.18573,11.8516,0.762747,0.16646,5.41358
9668,4671,0,81.3239,0,28.9257,52.3982,0.212814,1.12666,11.8501,0.73631,0.169138,5.20219
9669,4674,0,79.4475,0,28.4043,51.0432,0.223207,1.08178,11.6274,0.726388,0.166812,5.12032
9670,4677,0,148.629,67.7929,29.2736,51.5628,0.213319,1.13692,12.0642,0.726794,0.167457,5.23942
9671,4677,0,81.6114,0,28.9686,52.6427,0.211809,1.13121,11.9225,0.744106,0.171408,5.1896
9672,4680,0,82.6385,0,30.0877,52.5508,0.227912,1.26203,12.2732,0.775928,0.177189,5.30784
9673,4680,0,81.7998,0,29.6473,52.1525,0.251302,1.16011,12.1707,0.743035,0.165361,5.26468
9674,4680,0,80.2138,0,27.8747,52.3392,0.22469,0.988328,11.4403,0.691876,0.165008,5.08594
9675,4678,0,79.5915,0,29.0038,50.5878,0.212366,1.11396,11.6595,0.715641,0.167781,5.12123
9676,4681,0,81.3985,0,28.6321,52.7664,0.273065,1.05976,11.7151,0.755969,0.166754,5.19474
9677,4684,0,80.9731,0,29.2743,51.6987,0.338899,1.09457,11.8299,0.747538,0.165749,5.29508
9678,4687,0,82.3869,0,29.9891,52.3978,0.242228,1.17561,12.348,0.764315,0.170565,5.36856
9679,4690,0,80.4634,0,29.1287,51.3347,0.315393,1.13202,11.8048,0.731001,0.168906,5.31079
