tick,nodes,SA,total_ms,light_ms,plant_ms,debug_ms,position_ms,maintenance_ms,grow_ms,mass_stress_ms,droop_break_ms,transport_ms
5372,2059,0,58.0552,25.9796,10.1167,21.959,0.154752,0.672291,1.46154,0.497574,0.124051,4.2073
5373,2059,0,63.7538,28.808,11.4573,23.4885,0.332012,0.923443,1.57721,0.632139,0.126397,4.62461
5374,2059,0,61.3765,27.506,10.9598,22.9107,0.205069,0.822596,1.58436,0.567622,0.127403,4.53069
5375,2058,0,62.5211,28.0887,11.4452,22.9872,0.28129,0.807637,1.60009,0.565079,0.127738,4.72312
5376,2058,0,62.9591,28.328,11.758,22.873,0.235809,0.926891,1.70914,0.628371,0.144083,4.8615
5377,2058,0,62.4449,28.2856,11.3012,22.8581,0.178855,0.870615,1.65984,0.606266,0.130996,4.60103
5378,2058,0,62.9928,28.0182,11.6719,23.3027,0.324463,0.935976,1.59149,0.629219,0.125876,4.93395
5379,2058,0,61.6892,28.3225,10.6617,22.705,0.162943,0.725913,1.4442,0.52729,0.1262,4.55277
5380,2058,0,63.3139,28.3585,11.5412,23.4142,0.24305,0.845226,1.65506,0.599088,0.127764,4.87329
5381,2058,0,61.2597,27.5431,11.1991,22.5176,0.340778,0.875919,1.49846,0.638019,0.148999,4.59366
5382,2057,0,60.8413,27.005,11.681,22.1553,0.420909,0.859153,1.50804,0.635632,0.126119,4.84699
5383,2057,0,61.6077,28.0752,11.1973,22.3352,0.387345,0.783601,1.5821,0.587233,0.123844,4.67762
5384,2056,0,60.8958,26.871,11.1124,22.9123,0.301435,0.78297,1.56889,0.566773,0.127924,4.45498
5385,2056,0,60.7303,26.8019,11.6542,22.2742,0.334708,0.932113,1.55456,0.67808,0.127985,4.85438
5386,2056,0,63.4235,29.385,10.8269,23.2115,0.209728,0.81078,1.5863,0.566713,0.128884,4.3967
5387,2059,0,62.2768,28.0587,11.6824,22.5357,0.442825,0.892582,1.58928,0.649868,0.125238,4.79377
5388,2065,0,63.4955,28.4088,11.9232,23.1635,0.272322,0.921484,1.60581,0.628847,0.145019,4.92826
5389,2068,0,62.1559,28.6242,10.732,22.7997,0.257926,0.76551,1.47368,0.585779,0.125584,4.45521
5390,2067,0,62.6334,29.0307,11.1652,22.4375,0.164565,0.780219,1.76896,0.561091,0.127868,4.41912
5391,2067,0,59.9679,26.646,11.5683,21.7535,0.451075,0.88153,1.63319,0.645524,0.126303,4.79441
5392,2066,0,59.7893,26.7928,11.2506,21.7459,0.310938,0.763293,1.68627,0.568451,0.125382,4.52533
5393,2066,0,61.5357,27.7208,10.7833,23.0316,0.159589,0.757714,1.67868,0.540872,0.128679,4.40177
5394,2065,0,61.8067,27.2515,11.9115,22.6438,0.304309,0.921683,1.8454,0.628993,0.127054,4.74738
5395,2064,0,60.483,27.6427,10.9087,21.9316,0.174067,0.738505,1.65324,0.556354,0.127011,4.39008
5396,2064,0,63.7285,28.8511,11.6323,23.2452,0.602038,0.812587,1.80013,0.60467,0.125906,4.58552
5397,2064,0,62.358,28.5753,11.2767,22.506,0.269734,0.829421,1.725,0.620473,0.131889,4.5597
5398,2066,0,60.6308,27.6043,10.831,22.1955,0.157963,0.717073,1.7613,0.524008,0.125717,4.28343
5399,2069,0,59.9581,26.7087,11.6133,21.6361,0.678982,0.861263,1.65571,0.641463,0.12412,4.63579
5400,2069,0,59.9608,27.2302,10.4812,22.2494,0.158261,0.700365,1.67582,0.506817,0.126916,4.27224
5401,2068,0,60.3074,27.3477,10.6103,22.3494,0.160845,0.682274,1.62831,0.516451,0.125473,4.27524
5402,2068,0,62.506,28.0949,11.2188,23.1923,0.165992,0.771874,1.83283,0.549376,0.13478,4.51604
5403,2066,0,61.3869,27.9614,11.0663,22.3592,0.162938,0.761083,1.72317,0.540705,0.131349,4.39217
5404,2066,0,59.4788,26.5945,10.7112,22.1731,0.155096,0.743717,1.77754,0.525746,0.126136,4.2966
5405,2066,0,58.2207,26.2084,10.3307,21.6816,0.15504,0.693968,1.6114,0.506767,0.125038,4.22846
5406,2066,0,62.9131,26.9179,11.5877,24.4075,0.168113,0.867778,1.88004,0.595551,0.132231,4.63634
5407,2066,0,61.904,27.7737,11.2269,22.9035,0.434281,0.7794,1.68501,0.659337,0.12564,4.48887
5408,2066,0,60.7803,27.3072,10.9171,22.556,0.173564,0.758646,1.7687,0.568779,0.126045,4.41788
5409,2066,0,59.0719,26.5212,10.828,21.7228,0.30847,0.761646,1.66563,0.546787,0.123854,4.41492
5410,2066,0,59.223,26.2608,10.9214,22.0409,0.15932,0.75982,1.80153,0.533406,0.129117,4.41288
5411,2069,0,59.7575,26.8947,10.6689,22.1939,0.158963,0.703232,1.70864,0.514792,0.128497,4.35552
5412,2072,0,58.91,26.636,10.4804,21.7936,0.154973,0.703388,1.69816,0.5154,0.125751,4.26153
5413,2078,0,58.9387,26.6261,10.4603,21.8524,0.156416,0.707621,1.67931,0.516152,0.12562,4.25306
5414,2078,0,59.321,26.748,10.505,22.068,0.154882,0.701927,1.66492,0.507455,0.125871,4.3102
5415,2078,0,61.9229,26.7266,12.131,23.0652,0.302513,0.977638,1.88081,0.66106,0.130524,4.90184
5416,2077,0,61.4344,27.6231,11.7784,22.0329,0.364024,0.870217,1.70246,0.569592,0.125861,4.84195
5417,2077,0,58.7932,26.6249,10.376,21.7923,0.155848,0.684783,1.63615,0.49679,0.136343,4.23866
5418,2077,0,58.9019,26.6054,10.4565,21.84,0.156966,0.684281,1.6834,0.502372,0.124739,4.27124
5419,2077,0,62.8655,28.0833,10.677,24.1052,0.178268,0.725178,1.67965,0.528925,0.125056,4.35729
5420,2077,0,62.4522,28.0902,11.7369,22.625,0.241753,0.906671,1.83347,0.607694,0.1302,4.88596
5421,2080,0,59.8437,26.9839,10.8418,22.018,0.342436,0.722445,1.6647,0.545681,0.126575,4.41734
